district,nbhd,style,extwall,stories,rooms,finishedsqft,lotsize,units,bdrms,baths_total,state,city,address,zipcode,latitude,longitude,ppsq,convertedlot,lotunit,marketestimate,rentestimate,price
7,1440,milwaukee bungalow,aluminum/vinyl,1,7,1400,3484.8,1,3,1,WI,Milwaukee,South 8th STREET,53215,42.996044,-87.921,110.7142857,0.08,sqft,156700,1300,155000
12,4120,duplex-cottage,wood,2,10,1600,3484.8,2,3,2,WI,Milwaukee,East Homer STREET,53207,42.99976,-87.89994,218.6875,0.08,sqft,370200,1999,349900
10,2710,cottage,aluminum/vinyl,1,4,667,4356,1,2,1,WI,Milwaukee,North 35th STREET,53216,43.095448,-87.957344,206.1469265,0.1,sqft,139700,996,137500
15,2400,colonial,aluminum/vinyl,2,6,1184,4356,1,3,2,WI,Milwaukee,North 25th STREET,53205,43.056957,-87.944756,114.0202703,0.1,sqft,132800,1500,135000
13,4520,colonial,aluminum/vinyl,2,6,1300,4356,1,3,2,WI,Milwaukee,South Whitnall AVENUE,53207,42.982292,-87.905945,260.7692308,0.1,sqft,360000,1875,339000
11,4260,cape cod,aluminum/vinyl,1,0,953,4791.6,1,2,1,WI,Milwaukee,North 78th STREET,53222,43.0746,-88.009514,187.8279119,0.11,sqft,192900,1294,179000
10,2540,milwaukee bungalow,aluminum/vinyl,1,0,1234,4791.6,1,2,2,WI,Milwaukee,S Alabama Ave,53207,42.98269,-87.887985,202.4311183,0.11,sqft,263300,1678,249800
7,1740,dplx bungalow,block,1.5,7,1532,4791.6,2,3,2,WI,Milwaukee,North 45th STREET,53216,43.081413,-87.97008,116.8407311,0.11,sqft,183800,1588,179000
3,3160,dplx bungalow,stucco,2,12,2739,4791.6,2,5,3,WI,Milwaukee,North 50th STREET,53216,43.07606,-87.97638,94.92515517,0.11,sqft,257300,1999,260000
6,2910,res o/s 2sty +,wood,2,0,1884,5000,2,2,1,OR,Milwaukie,SE Sellwood St,97222,45.440216,-122.62847,145.9660297,0.114784206,sqft,nan,nan,275000
1,1620,cape cod,aluminum/vinyl,1.5,6,1603,5227.2,1,3,2,WI,Milwaukee,North Warren AVENUE,53202,43.05354,-87.89342,218.2782283,0.12,sqft,356000,1414,349900
5,2120,duplex n/s,brick,1.5,8,2118,5227.2,2,5,3,WI,Milwaukee,North 85th STREET,53222,43.072025,-88.01916,158.1208687,0.12,sqft,355900,2199,334900
15,3000,colonial,aluminum/vinyl,2,7,1717,6534,1,3,1,WI,Milwaukee,North 60th STREET,53208,43.051777,-87.98722,186.3715783,0.15,sqft,334300,1599,320000
9,240,ranch,aluminum / vinyl,1,0,1156,7840.8,1,3,1,WI,Milwaukee,West Eden PLACE,53220,42.98033,-88.00272,125.3460208,0.18,sqft,157300,1700,144900
5,1470,cape cod,aluminum/vinyl,1.5,0,1271,7840.8,1,3,2,WI,Milwaukee,North 86th PLACE,53225,43.12185,-88.019295,106.2155783,0.18,sqft,136300,1875,135000
2,1020,duplex n/s,aluminum / vinyl,1.5,0,2007,7840.8,2,4,3,WI,Milwaukee,West Green Tree ROAD,53223,43.141716,-88.0114,102.1425012,0.18,sqft,211900,2149,205000
13,4720,colonial,aluminum/vinyl,1,5,1152,8712,1,3,2,WI,Milwaukee,West Bottsford AVENUE,53221,42.964855,-87.95444,216.1458333,0.2,sqft,259000,1994,249000
9,240,ranch,aluminum/vinyl,1,6,1279,10454.4,1,2,2,OR,Milwaukie,SE Jennings Ave,97267,45.39881,-122.59761,371.3838937,0.24,sqft,485500,2250,475000
9,240,ranch,aluminum/vinyl,1,7,1285,10454.4,1,3,2,OR,Milwaukie,SE La Marquita Way,97267,45.412502,-122.614136,330.7392996,0.24,sqft,434700,2695,425000
13,4800,ranch,aluminum / vinyl,1,0,1506,10454.4,1,3,2,WI,Milwaukee,South 83rd STREET,53220,42.980274,-88.016075,189.1766268,0.24,sqft,294300,2500,284900
9,240,ranch,aluminum / vinyl,1,0,1907,10890,1,3,2,WI,Milwaukee,North Link PLACE,53223,43.160305,-87.97605,162.5065548,0.25,sqft,319100,2299,309900
9,440,bi-level,wood,1,8,1816,12196.8,1,5,2,WI,Milwaukee,West Good Hope ROAD,53224,43.148857,-88.03475,137.6101322,0.28,sqft,256800,2350,249900
9,240,cape cod,aluminum / vinyl,1.5,0,2287,18730.8,1,3,2,OR,Milwaukie,SE Mabel Ave,97267,45.40742,-122.594246,174.8578924,0.43,sqft,412700,2999,399900
9,240,cape cod,aluminum / vinyl,1.5,0,1500,27007.2,1,4,2,WI,Milwaukee,North Sherman BOULEVARD UNIT 4326,53216,43.095818,-87.96662,83.26666667,0.62,sqft,nan,nan,124900
5,2140,ranch,stone,1,6,1972,41817.6,1,4,2,WI,Milwaukee,North Sherman BOULEVARD,53216,43.077385,-87.96693,82.91075051,0.96,sqft,162900,2299,163500
